Timestamp,Item_Category,Quantity
8/22/2023,Pakoras,2
8/23/2023,Coffee,3
8/23/2023,Coffee,3
8/24/2023,Coffee,5
8/24/2023,Hot Soups,3
8/24/2023,Coffee,3
8/25/2023,Coffee,5
8/26/2023,Pakoras,5
8/26/2023,Coffee,5
8/26/2023,Hot Soups,4
8/26/2023,Pakoras,3
8/27/2023,Tea,5
8/28/2023,Hot Soups,2
8/28/2023,Tea,4
8/28/2023,Tea,5
8/28/2023,Coffee,3
8/29/2023,Coffee,2
8/29/2023,Coffee,2
8/30/2023,Coffee,4
8/30/2023,Hot Soups,5
8/31/2023,Tea,3
8/31/2023,Tea,1
9/1/2023,Tea,3
9/1/2023,Hot Soups,3
9/1/2023,Tea,4
9/2/2023,Hot Soups,1
9/3/2023,Coffee,3
9/3/2023,Tea,2
9/3/2023,Coffee,3
9/3/2023,Coffee,1
9/3/2023,Coffee,4
9/5/2023,Coffee,2
9/5/2023,Pakoras,2
9/6/2023,Coffee,1
9/6/2023,Hot Soups,2
9/7/2023,Tea,2
9/8/2023,Pakoras,5
9/8/2023,Coffee,2
9/9/2023,Coffee,1
9/9/2023,Tea,4
9/9/2023,Pakoras,5
9/9/2023,Hot Soups,2
9/10/2023,Hot Soups,1
9/10/2023,Pakoras,2
9/11/2023,Tea,4
9/11/2023,Hot Soups,3
9/11/2023,Coffee,5
9/11/2023,Pakoras,4
9/12/2023,Coffee,5
9/14/2023,Coffee,4
9/15/2023,Coffee,3
9/15/2023,Hot Soups,3
9/15/2023,Pakoras,3
9/15/2023,Tea,5
9/15/2023,Pakoras,5
9/16/2023,Coffee,4
9/16/2023,Pakoras,1
9/16/2023,Hot Soups,5
9/17/2023,Tea,4
9/17/2023,Pakoras,5
9/18/2023,Pakoras,5
9/18/2023,Hot Soups,1
9/18/2023,Hot Soups,1
9/19/2023,Coffee,2
9/20/2023,Pakoras,2
9/20/2023,Pakoras,2
9/20/2023,Tea,5
9/20/2023,Hot Soups,5
9/21/2023,Pakoras,2
9/21/2023,Coffee,4
9/21/2023,Pakoras,5
9/21/2023,Tea,1
9/22/2023,Pakoras,5
9/22/2023,Hot Soups,4
9/23/2023,Pakoras,2
9/23/2023,Coffee,5
9/23/2023,Coffee,1
9/25/2023,Coffee,1
9/25/2023,Hot Soups,5
9/26/2023,Tea,4
9/26/2023,Pakoras,1
9/26/2023,Pakoras,4
9/27/2023,Tea,5
9/27/2023,Hot Soups,4
9/27/2023,Pakoras,5
9/27/2023,Tea,1
9/27/2023,Tea,2
9/27/2023,Hot Soups,2
9/28/2023,Coffee,5
9/29/2023,Hot Soups,4
9/29/2023,Pakoras,2
9/29/2023,Coffee,3
9/30/2023,Tea,5
10/1/2023,Hot Beverages,4
10/1/2023,Biryani,3
10/2/2023,Roti,3
10/2/2023,Biryani,2
10/2/2023,Biryani,2
10/2/2023,Hot Beverages,4
10/3/2023,Curries,1
10/3/2023,Roti,4
10/3/2023,Biryani,3
10/4/2023,Roti,2
10/4/2023,Roti,4
10/4/2023,Roti,4
10/4/2023,Biryani,3
10/4/2023,Roti,4
10/5/2023,Curries,1
10/5/2023,Roti,5
10/5/2023,Roti,1
10/5/2023,Hot Beverages,1
10/5/2023,Biryani,2
10/6/2023,Curries,5
10/6/2023,Curries,5
10/6/2023,Curries,4
10/6/2023,Hot Beverages,5
10/7/2023,Roti,2
10/7/2023,Roti,1
10/8/2023,Curries,4
10/8/2023,Hot Beverages,1
10/8/2023,Curries,5
10/8/2023,Roti,2
10/8/2023,Hot Beverages,2
10/8/2023,Biryani,5
10/9/2023,Roti,3
10/9/2023,Roti,1
10/9/2023,Roti,5
10/9/2023,Biryani,1
10/10/2023,Hot Beverages,2
10/11/2023,Curries,2
10/11/2023,Curries,4
10/11/2023,Biryani,5
10/12/2023,Biryani,4
10/12/2023,Curries,3
10/13/2023,Hot Beverages,2
10/14/2023,Curries,2
10/14/2023,Hot Beverages,2
10/14/2023,Hot Beverages,4
10/15/2023,Biryani,2
10/15/2023,Hot Beverages,2
10/15/2023,Biryani,2
10/15/2023,Hot Beverages,2
10/16/2023,Roti,2
10/17/2023,Curries,4
10/17/2023,Biryani,4
10/17/2023,Biryani,2
10/17/2023,Hot Beverages,4
10/17/2023,Biryani,2
10/17/2023,Curries,4
10/18/2023,Curries,5
10/18/2023,Hot Beverages,2
10/18/2023,Biryani,5
10/19/2023,Biryani,5
10/19/2023,Roti,1
10/20/2023,Roti,1
10/20/2023,Curries,3
10/20/2023,Biryani,5
10/21/2023,Curries,1
10/21/2023,Roti,5
10/21/2023,Hot Beverages,4
10/22/2023,Biryani,1
10/22/2023,Roti,5
10/22/2023,Hot Beverages,1
10/22/2023,Curries,2
10/22/2023,Roti,4
10/23/2023,Roti,4
10/23/2023,Curries,1
10/23/2023,Hot Beverages,1
10/23/2023,Roti,1
10/23/2023,Biryani,1
10/25/2023,Hot Beverages,1
10/26/2023,Curries,5
10/27/2023,Roti,1
10/27/2023,Roti,2
10/28/2023,Curries,5
10/29/2023,Hot Beverages,5
10/29/2023,Curries,5
10/29/2023,Curries,3
10/29/2023,Biryani,4
10/29/2023,Hot Beverages,3
10/30/2023,Hot Beverages,3
10/30/2023,Biryani,3
10/30/2023,Hot Beverages,1
10/31/2023,Biryani,5
10/31/2023,Hot Beverages,3
10/31/2023,Biryani,5
11/1/2023,Curries,3
11/1/2023,Biryani,5
11/2/2023,Roti,2
11/2/2023,Biryani,3
11/3/2023,Roti,3
11/3/2023,Biryani,1
11/3/2023,Biryani,4
11/3/2023,Curries,5
11/4/2023,Roti,2
11/5/2023,Hot Beverages,1
11/5/2023,Curries,4
11/5/2023,Roti,3
11/6/2023,Biryani,2
11/6/2023,Roti,2
11/6/2023,Hot Beverages,1
11/6/2023,Hot Beverages,5
11/6/2023,Roti,3
11/7/2023,Curries,5
11/7/2023,Roti,4
11/7/2023,Curries,3
11/9/2023,Roti,4
11/10/2023,Curries,5
11/10/2023,Hot Beverages,5
11/10/2023,Curries,5
11/11/2023,Biryani,4
11/11/2023,Biryani,2
11/11/2023,Curries,2
11/11/2023,Roti,5
11/12/2023,Biryani,2
11/12/2023,Biryani,1
11/12/2023,Hot Beverages,1
11/13/2023,Hot Beverages,4
11/13/2023,Biryani,4
11/13/2023,Biryani,2
11/13/2023,Curries,1
11/13/2023,Biryani,5
11/15/2023,Biryani,4
11/15/2023,Roti,3
11/15/2023,Roti,1
11/15/2023,Roti,4
11/16/2023,Roti,4
11/16/2023,Roti,2
11/16/2023,Biryani,1
11/16/2023,Hot Beverages,4
11/17/2023,Curries,1
11/17/2023,Roti,2
11/17/2023,Curries,5
11/18/2023,Curries,1
11/18/2023,Hot Beverages,3
11/18/2023,Hot Beverages,2
11/18/2023,Roti,5
11/18/2023,Curries,3
11/19/2023,Curries,2
11/20/2023,Hot Beverages,1
11/20/2023,Curries,3
11/20/2023,Biryani,1
11/21/2023,Biryani,1
11/21/2023,Curries,1
11/22/2023,Curries,5
11/23/2023,Hot Beverages,3
11/24/2023,Biryani,1
11/24/2023,Hot Beverages,1
11/24/2023,Biryani,4
11/24/2023,Biryani,1
11/25/2023,Hot Beverages,3
11/25/2023,Hot Beverages,3
11/25/2023,Biryani,2
11/26/2023,Hot Beverages,4
11/26/2023,Biryani,4
11/27/2023,Biryani,2
11/27/2023,Roti,4
11/28/2023,Roti,1
11/28/2023,Hot Beverages,3
11/28/2023,Hot Beverages,5
11/29/2023,Hot Beverages,5
11/29/2023,Biryani,3
11/29/2023,Biryani,1
11/30/2023,Roti,3
11/30/2023,Biryani,4
12/1/2023,Roti,1
12/1/2023,Curries,2
12/2/2023,Hot Beverages,3
12/2/2023,Curries,5
12/2/2023,Hot Beverages,4
12/3/2023,Roti,1
12/3/2023,Hot Beverages,2
12/4/2023,Roti,3
12/4/2023,Roti,5
12/5/2023,Curries,2
12/5/2023,Biryani,3
12/6/2023,Curries,1
12/6/2023,Biryani,5
12/7/2023,Roti,1
12/7/2023,Biryani,2
12/8/2023,Hot Beverages,5
12/8/2023,Curries,1
12/8/2023,Roti,3
12/8/2023,Hot Beverages,4
12/9/2023,Curries,4
12/9/2023,Hot Beverages,2
12/9/2023,Biryani,2
12/9/2023,Biryani,5
12/10/2023,Hot Beverages,4
12/10/2023,Hot Beverages,3
12/10/2023,Hot Beverages,5
12/10/2023,Hot Beverages,3
12/11/2023,Biryani,3
12/11/2023,Curries,3
12/12/2023,Biryani,3
12/12/2023,Hot Beverages,1
12/12/2023,Hot Beverages,4
12/13/2023,Hot Beverages,3
12/14/2023,Roti,1
12/14/2023,Roti,3
12/14/2023,Curries,1
12/15/2023,Hot Beverages,2
12/15/2023,Curries,4
12/15/2023,Hot Beverages,4
12/16/2023,Roti,2
12/16/2023,Biryani,3
12/17/2023,Biryani,4
12/18/2023,Hot Beverages,2
12/18/2023,Curries,5
12/18/2023,Biryani,4
12/19/2023,Curries,4
12/20/2023,Curries,2
12/20/2023,Biryani,2
12/21/2023,Roti,1
12/21/2023,Curries,3
12/21/2023,Curries,1
12/22/2023,Curries,3
12/23/2023,Roti,3
12/23/2023,Biryani,4
12/23/2023,Biryani,1
12/23/2023,Hot Beverages,3
12/23/2023,Curries,5
12/25/2023,Roti,2
12/25/2023,Hot Beverages,1
12/25/2023,Curries,2
12/25/2023,Biryani,5
12/26/2023,Biryani,5
12/26/2023,Roti,3
12/26/2023,Biryani,1
12/26/2023,Curries,2
12/27/2023,Roti,2
12/27/2023,Biryani,2
12/27/2023,Curries,1
12/28/2023,Roti,2
12/28/2023,Biryani,1
12/28/2023,Biryani,3
12/30/2023,Hot Beverages,1
12/30/2023,Biryani,5
12/30/2023,Hot Beverages,2
12/30/2023,Roti,2
12/30/2023,Hot Beverages,5
12/31/2023,Biryani,3
12/31/2023,Biryani,5
1/1/2024,Curries,2
1/1/2024,Biryani,3
1/2/2024,Hot Beverages,1
1/3/2024,Biryani,2
1/3/2024,Hot Beverages,3
1/3/2024,Roti,5
1/3/2024,Curries,1
1/3/2024,Roti,1
1/4/2024,Hot Beverages,2
1/4/2024,Biryani,2
1/4/2024,Hot Beverages,5
1/4/2024,Biryani,3
1/5/2024,Curries,2
1/5/2024,Biryani,3
1/6/2024,Hot Beverages,1
1/7/2024,Hot Beverages,2
1/8/2024,Curries,3
1/8/2024,Hot Beverages,2
1/9/2024,Roti,4
1/9/2024,Roti,5
1/9/2024,Hot Beverages,4
1/9/2024,Roti,4
1/9/2024,Roti,4
1/10/2024,Biryani,4
1/10/2024,Biryani,4
1/11/2024,Biryani,2
1/11/2024,Roti,5
1/12/2024,Biryani,5
1/12/2024,Curries,5
1/13/2024,Hot Beverages,4
1/14/2024,Hot Beverages,1
1/14/2024,Biryani,3
1/15/2024,Hot Beverages,5
1/15/2024,Roti,2
1/15/2024,Curries,5
1/15/2024,Roti,5
1/16/2024,Roti,3
1/16/2024,Biryani,2
1/16/2024,Hot Beverages,2
1/17/2024,Curries,2
1/17/2024,Curries,5
1/17/2024,Biryani,1
1/18/2024,Biryani,3
1/19/2024,Biryani,5
1/19/2024,Curries,3
1/19/2024,Curries,1
1/20/2024,Biryani,2
1/20/2024,Hot Beverages,3
1/20/2024,Roti,4
1/21/2024,Roti,1
1/21/2024,Roti,5
1/21/2024,Hot Beverages,4
1/21/2024,Biryani,2
1/23/2024,Roti,5
1/24/2024,Hot Beverages,4
1/24/2024,Curries,1
1/24/2024,Roti,4
1/24/2024,Hot Beverages,2
1/25/2024,Hot Beverages,4
1/25/2024,Hot Beverages,4
1/25/2024,Roti,1
1/25/2024,Roti,2
1/25/2024,Biryani,3
1/26/2024,Biryani,4
1/26/2024,Biryani,4
1/26/2024,Biryani,3
1/26/2024,Biryani,3
1/27/2024,Hot Beverages,5
1/27/2024,Hot Beverages,1
1/27/2024,Roti,2
1/27/2024,Hot Beverages,1
1/27/2024,Roti,2
1/27/2024,Hot Beverages,2
1/28/2024,Biryani,2
1/29/2024,Roti,1
1/29/2024,Hot Beverages,5
1/29/2024,Hot Beverages,2
1/30/2024,Biryani,3
1/31/2024,Biryani,5
1/31/2024,Roti,2
1/31/2024,Roti,1
2/1/2024,Curries,3
2/1/2024,Curries,1
2/1/2024,Hot Beverages,1
2/1/2024,Curries,3
2/1/2024,Hot Beverages,4
2/3/2024,Roti,5
2/3/2024,Curries,4
2/3/2024,Biryani,1
2/3/2024,Biryani,3
2/4/2024,Hot Beverages,1
2/4/2024,Curries,3
2/4/2024,Roti,5
2/4/2024,Roti,3
2/5/2024,Curries,1
2/5/2024,Biryani,4
2/5/2024,Hot Beverages,3
2/5/2024,Biryani,3
2/5/2024,Hot Beverages,3
2/5/2024,Curries,1
2/6/2024,Hot Beverages,2
2/6/2024,Curries,5
2/6/2024,Roti,4
2/7/2024,Roti,4
2/7/2024,Curries,2
2/7/2024,Biryani,1
2/7/2024,Biryani,3
2/8/2024,Roti,2
2/8/2024,Roti,5
2/8/2024,Roti,2
2/8/2024,Roti,3
2/9/2024,Curries,1
2/9/2024,Hot Beverages,5
2/10/2024,Curries,2
2/10/2024,Biryani,1
2/10/2024,Roti,1
2/10/2024,Biryani,1
2/10/2024,Roti,5
2/10/2024,Hot Beverages,3
2/10/2024,Curries,5
2/11/2024,Hot Beverages,5
2/11/2024,Roti,2
2/11/2024,Curries,4
2/11/2024,Roti,4
2/11/2024,Biryani,1
2/12/2024,Hot Beverages,4
2/12/2024,Curries,5
2/12/2024,Hot Beverages,2
2/13/2024,Curries,4
2/15/2024,Biryani,5
2/15/2024,Roti,3
2/16/2024,Hot Beverages,5
2/16/2024,Curries,2
2/16/2024,Biryani,1
2/17/2024,Hot Beverages,4
2/17/2024,Biryani,5
2/18/2024,Hot Beverages,2
2/18/2024,Biryani,1
2/19/2024,Curries,4
2/19/2024,Curries,3
2/19/2024,Biryani,3
2/19/2024,Roti,1
2/20/2024,Curries,1
2/21/2024,Hot Beverages,5
2/21/2024,Roti,3
2/21/2024,Roti,1
2/21/2024,Hot Beverages,1
2/22/2024,Biryani,4
2/22/2024,Curries,5
2/22/2024,Roti,1
2/23/2024,Hot Beverages,2
2/23/2024,Curries,2
2/23/2024,Biryani,2
2/23/2024,Curries,5
2/24/2024,Curries,5
2/24/2024,Curries,2
2/24/2024,Biryani,4
2/26/2024,Curries,5
2/27/2024,Curries,5
2/27/2024,Roti,1
2/27/2024,Biryani,5
2/28/2024,Hot Beverages,4
2/28/2024,Biryani,2
2/28/2024,Curries,2
2/28/2024,Hot Beverages,4
2/28/2024,Hot Beverages,4
2/29/2024,Roti,3
2/29/2024,Hot Beverages,2
2/29/2024,Curries,5
2/29/2024,Biryani,3
3/1/2024,Fruits,2
3/1/2024,Cool Drinks,2
3/1/2024,Fruits,2
3/2/2024,Ice Cream,3
3/3/2024,Cool Drinks,2
3/3/2024,Salads,2
3/4/2024,Cool Drinks,4
3/4/2024,Fruits,1
3/4/2024,Fruits,1
3/4/2024,Cool Drinks,5
3/5/2024,Cool Drinks,1
3/6/2024,Cool Drinks,5
3/7/2024,Ice Cream,1
3/7/2024,Ice Cream,1
3/7/2024,Fruits,4
3/7/2024,Ice Cream,5
3/8/2024,Salads,3
3/8/2024,Salads,4
3/8/2024,Ice Cream,1
3/9/2024,Cool Drinks,1
3/9/2024,Salads,5
3/9/2024,Fruits,3
3/9/2024,Cool Drinks,4
3/9/2024,Cool Drinks,2
3/10/2024,Fruits,4
3/10/2024,Fruits,2
3/10/2024,Salads,4
3/10/2024,Salads,4
3/10/2024,Salads,3
3/10/2024,Ice Cream,1
3/11/2024,Cool Drinks,3
3/11/2024,Ice Cream,3
3/11/2024,Cool Drinks,4
3/11/2024,Cool Drinks,2
3/11/2024,Cool Drinks,3
3/11/2024,Cool Drinks,1
3/11/2024,Fruits,2
3/12/2024,Ice Cream,5
3/12/2024,Fruits,2
3/13/2024,Salads,2
3/13/2024,Cool Drinks,1
3/14/2024,Fruits,2
3/15/2024,Cool Drinks,2
3/15/2024,Cool Drinks,4
3/15/2024,Fruits,5
3/15/2024,Ice Cream,3
3/15/2024,Cool Drinks,1
3/15/2024,Ice Cream,3
3/15/2024,Salads,2
3/15/2024,Salads,5
